,Users,Review_title,Review_date,Review_content,Rating
166,contactkunal," Vikram is baap of all movies
","<span class=""review-date"">7 June 2022</span>","
Tridev's - Kamal Hassan, Fahad & VJ Sethupathi has given knockout performances of their career. I would say it's one more level up for audiences who has recently seen KGF and RRR. Movie is full of suspense and VJSethupathi's entry scene is mind-blowing. Eagerly waiting for next chapter.

                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
167,sanjubhat," Fahadh Faasil Kamal Haasan & Vijay Sethupati rock this action thriller
","<span class=""review-date"">4 June 2022</span>","
Film review : Vikram ( Starring Kamal Haasan, Fahadh Faasil & Vijay Sethupati)
#sanjuzzreviews #VikramMovie #KamalHaasan #fahadfazil #VijaySethupathi
Story : A ruthless Black Ops team headed by Fahadh Faasil is called up by the commissioner of police to hunt down masked vigilantes who are killing police officials. An exception to their rule is the killing of a civilian Karnan ( Kamal Haasan) who is the father of a martyred police officer. Is Karnan actually who he seems ? Why the exception to the vigilantes rule. Is there a deeper conspiracy involved ?The first half is fast paced, thrilling & all about Fahadh Faasil who is absolutely brilliant in his role as a Black Ops officer as he goes about the investigation. Rules the first half totally. He overshadows the mighty Kamal Haasan ( for whom i had actually gone to see the film) .The second half is all about Kamal Haasan who is shown as the Tamil Salman Khan especially towards the climax. No complaints about his acting, but some of the action scenes are really over the top .. the Hero is indestructible to say the least. Narrative slows down a bit with some emotional scenes. Ending is total Maar Dhaad and Vijay Sethupati proves to be a worthy adversary to our protagonists.Brilliant casting, action and a fast paced narrative make it a worthwhile watch.My rating 3/5 .. Worth a dekho.. adios 🙂
",7
168,saraslavhale," It's all an all Surprise Package
","<span class=""review-date"">18 June 2022</span>","
I enjoyed every bit of this movie bcoz it's very intriguing. The acting is top notch by our very own Kamal Sir,Fahadh Faasil and Vijay Sethupati was also too good. The actions scenes with that blockbuster Anirudh's BGM does the rest of the job. I have to write that even Kamal Sir's chewing,his facial expressions at intermission, in emotional songs and in last fight showed us why he is one of best actors of all time in world. He is truly Ulaganayagan.#LivingLegend.

                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
169,cidathavan," Ready To Witness The Beast Mode Of Ulaganayagan
","<span class=""review-date"">3 June 2022</span>","
I would give 9.7 out of 10 for this movie. This is a pakka commercial entertainer with well carried roles of everyone. Fahad takes the soul till the pre interval and passes to Ulaganayagan Kamal sir as said he proved his world class in the remaining of the movie. Vijaysethupathi has done his role well but little bit missed to grab the presence while watching. The surprise of agents will be a blast in theatre. Expression of kamal sir especially the song porkanda singam to melt the heart and the whole movie and his actions proves himselt the youngest. Fahad fasil was justified by the director in presence. All the reference from Vikram (old) movie and Kaithi were justified. As we could say its an indian multiverse from the hands of Lokesh Kanagaraj proving himself as an icon for the future directors. I somehow felt that Suriya sir doesn't suit for the role provided but its too early to say so wait till the 3rd chapter of Vikram.....
Movie teaches how a power shoul be in interval and takes the movie whole to climax.Lokesh 9.6/10
Anirudh 10/10
Stunt 10/10
Cinematography 9.5!10
Kamal Sir 10/10
Fahad 10/10
Vjs 8.5/10
Suriya 7.9/10
Other Characters 9/10
The movie 9.7/10.
",10
170,xcxxdm," Could have been better
","<span class=""review-date"">15 July 2022</span>","
Honestly after so much expectations, I was disappointed the way the movie turned out to be.The editing was horrible and movie fell flat in many places after a fantastic start. Why are the directors hell bent on portraying the hero as a super human who can do anything. Forget your senses if you want to make sense of some scenes.Farhad fasil was excellent, Vijay Sethupathi wasted and I saw kamal instead of vikram. Surya had to stop shouting, he has to learn that one can menacing even without raising their voice.Kamal fans will love it but by his own standards the movie is sub par.

                    4 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",4
171,batabyalm," An exhausting and boring watch
","<span class=""review-date"">10 July 2022</span>","
This film barely manages to engage me. This film has many flaws and the screenplay is not well written. Lokesh thought that Kamal Hasan's familial bondings with grand child and son will evoke the audiences' sympathy. But, i can remember the the last sequence of Lokesh's another fantastic movie Kaithi in which Dilli said to Inspector Bijoy after getting his daughter that he does not need the gold earrings anymore for his daughter as he already got his daughter. He requested inspector Bijoy to take the earrings for his daughter instead. This one scene is better than the whole movie Vikram. Emotions don't come from familial bonds. It is best when you express it through strangers. This is Kamal Hasan fanboy movie made exclusively for the Kamal Hasan fans. Nothing else. Waste of Vijay sethupathy and Fahadh Fasil. The character of Vikram should not be revealed on interval points and his character must have to be an utter stranger and greyish tone. Disappointed. If the content does not engage me intellectually and emotionally then I cannot enjoy the action sequences. I hope next time Lokesh comes with better script.

                    2 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",4
172,msusaleem," After long time action movie with good story
","<span class=""review-date"">24 June 2022</span>","
Kamal Hossain acting was very excellent and villain roll also very good he make movie balance and he keep very seriously Roll as villain Vijay no competition for him acting skill.
",10
173,anamalli," A PURE NON SENSE MASALA MOVIE
","<span class=""review-date"">9 July 2022</span>","
The senile hero has projected himself as an ex Indian secret agent. He does not fit into the role. A more fit and younger looking lead would have done greater justice. However the story line resembles a cheap blend of many Hollywood movies and some Bollywood movies also.Man combating in the agressive fighting with the mask is much slimmer than the lead who has gathered mountain of flesh around himself. Kamal should stop playing the hero role as it does not suit him. Age and weight are the problems. He looks more like Bud Spencer of Hollywood.Another movie with loads of violence which is not good for the society.If it is free people can watch on OTT. Movie not worth the money .

                    3 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",2
174,ethanaathy," New era of Tamil cinema with Loki universe
","<span class=""review-date"">3 June 2022</span>","
Be honestly, Vikram is must watch intense action thriller of the year don't miss out this epic. Oh man loki you nailed it..Kamal Haasan, Vijay Sethupathi,Fahadh Faasil all exceptionally done a good job respectively and again man Anirudh. Man we all are living in the Ani era, can't beat him spine of the plot.

                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
175,mohdmuzmilkabir," The Dark Knight of India
","<span class=""review-date"">8 June 2023</span>","
Absolutely astonishing character development, BGM, screenplay, and yes too many The Dark Knight references 😅 .Everything is just perfect 👌
A must watch film. Lokesh is creating amazing drug universe, story and screenplay wise its no. 1 universe in India. But box-office wise YRF spy universe is no. 1 in India. Lokesh utilised each and every cast member perfectly and also created hype for next part with the introduction of Rolex is just amazing man 🔥🔥🔥Seeing Kamal Hassan, Vijay sethupathi, Fahad Fazil in one movie in one frame is absolutely treat for the eyes and lokesh captured it perfectly.

                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",9
176,rteja-76833," Too much hype
","<span class=""review-date"">8 July 2022</span>","
Its just a normal gangster movie. Nothing special. Kamal must retire from the film industry. Had a great expectations but its all just a hype. Don't waste ur time Guys.

                    4 out of 9 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",4
177,naveenrajen," Action Bliss & Stunning performances
","<span class=""review-date"">3 June 2022</span>","
Best action flick in recent times!Star studded crew delivers the punch you needed.BGM & Songs, Twists, will put a smile on your face.Do watch it in theaters only 🔥

                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
178,joepassgamingreturns," Not for everyone
","<span class=""review-date"">3 June 2022</span>","
This movie tries too hard to bring in a multiverse concept and is way too overindulgent in its ""fan boy moments."" Overall, not for families. Good acting by all though. Especially by Fahad. The music was really loud, and there were a ton of cuss words. Only go if you're a die hard Kamal fan. This movie was nowhere near Lokesh's earlier films Kaithi and Managaram. I liked Master slightly more than this movie. Works for some, definitely can't go pan-India like RRR or KGF.
",1
179,sanithsamaraweera," A great sequel !!!
","<span class=""review-date"">11 July 2022</span>","
A great sequel with Kaithi 2019 and a must watch movie. Highly recommended. Some great actors doing their best towards the movie and great directing by Lokesh as usual. Waiting for the next one...

                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
180,jagannathdas-75049," Mind blowing
","<span class=""review-date"">7 June 2022</span>","
Total dhamaka movie
World class action
Mind blowing bgm
Good camera work
Full of action
Thnx to Lokesh Sir
All are awesome acting.I never seen before this type of Indian cinema
Beautiful story telling.

                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
181,evinemmanuel," All brand actors together
","<span class=""review-date"">10 June 2022</span>","
Super film all actors are good acting this film will get in a big level iam sure of that.the scenes are related to movie kaithi and many movies to come so all should see the film in theatre so you don't miss the complete entertainment.

                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
182,dhawan-agrim," Overhyped
","<span class=""review-date"">13 June 2022</span>","
Old classic south Indian drama which you can easily watch on Utv action nothing new.Kamal hasans acting is too over dramatic others actors are decent.

                    10 out of 27 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",1
183,mohangear," Some mix-up of Kaithi + Master = Vikram
","<span class=""review-date"">4 June 2022</span>","
Even though the story line of Lokesh Kanakaraj's VIKRAM is having originality, the way it is picturised lags output in best presentable form.Fahad Fasil and Kamal Hassan are positives of VikramVijay sethupathi is more capable actor, but not to that extent utilised in this movie.Anirudh's music is ok, but not extra ordinary.Overall one time watchable in theatre.Lokesh need to bring more originality and fresh thinking on futher movies he is going to direct, which only will make him as a special director in future.*****************************************************************
",6
184,rahmanhasan-87361," Hidden jam
","<span class=""review-date"">14 June 2022</span>","
Does anyone notice the dialogue of Rolex sir that he built the empire from a scratch 27 years ago and while the secret team led by vikram was dismissed off...
Is there a connection between this two events?

                    3 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",9
185,erkeshva," Best movie 2022
","<span class=""review-date"">7 June 2022</span>","
Vikram is one of the best movie of the year 2022. Well written story script and action packed screenplay. Overall this movie is just amazing. The way story connected with the movie 'Kaithi' was quite surprising. Just like Marvel Universe Avengers, Director Lokesh Kanagaraj is trying to establish a Loki Cinematic Universe. Waiting for Kaithi 2 and Vikram 3. Lokesh Kanagaraj deserves a great victory and the best of everything.

                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
186,luckybabi," Masterpiece
","<span class=""review-date"">10 June 2022</span>","
Guys must watch this. This is one of the best movie of kamal hasan ji. Story is superb. All characters doing his job brilliantly. Axn seen Mast.last 40 minuite story take his hiper level.

                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
187,shanondalmeida," The Vikram universe!
","<span class=""review-date"">26 July 2022</span>","
The movie starts with a dance without any context which droped my expectations at the beginning.The main lead of the movie has little to none dialogues in Tamil and speaks most of the time in English which is cringe.The fight scenes lacked logic and were nothing but fillers. At one point I just skipped some parts it didn't even matter.The BGM was irritating and didnt help in any way and infact decreased my experience. Youtube vedios and ig reels have better music tn this.And the vilain of the movie is a joke and God knows wt drug he is taking which gives him super human strength.And no wonder what reason they r making 2nd part and literally they wasted 10min to show cameo of the next villain.
",2
188,HotDoggyBoomBooM," You just dont leave your friends behind to die.
","<span class=""review-date"">10 July 2022</span>","
1st kudos for making a film so entertaining at first half. 2nd I dont get it why everyone praises the movie because of it's violence and depiction of guns which is really a plus point but that's it the movie is bombarded by a hype train how KH is and his 4 member surviving gang wreaking havoc in past and KH makes sure they dont survive i mean he literally left them to die just like indonesian movies where heroes allies are just meatbags to end up dead by villain's minions but they had some logic not this one. A hour and half would have sufficed but to sit in the seat for nearly 3 hrs aint worth it. If your ardent kH of course yeah.

                    1 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",6
189,ramkumar-07741," High expectations & high hype
","<span class=""review-date"">4 June 2022</span>","
Once upon a time there lived a hero
He was known for realistic & futuristic
But not in this FlimFirst Don't go with kids ,it's fahad fazil's Flim not Kamal's or vijay sethupathi,they try to connect logic with their other films but fail to give logic & be realistic in this Flim ,we can easily guess the movie from starting ,sentiments didn't workout ,unwanted action scene,revolver Rita suspense cards are full of comedy,Anirudh background score was such a pain to ears ,someone pls get back mad max fury cd from him ! Starting from marri he's torturing our ears as background score -most overrated ,Suriya's Cameo is disgusting to see.Tries to make Films like Hollywood but fails .Old Vikram is much better than thisOne time watchable for fafa & Kamal
Not worth the hype.
",2
190,alokkawle," It's official, it's a kanagaraj-kaithi-vikram universe.
","<span class=""review-date"">3 June 2022</span>","
I literally have to words to explain the genius of the story. Kanagraj has officially set his own universe or a franchise. The story continues from kaithi where the almost a ton worth of cocaine is taken into custody by cops and Dilli is the one who ends up helping bijoy, here the entire story is taken by surprise to see that and yes, without giving out the spoilers, it's gonna continue more with Surya. Don't miss this epic.

                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
191,deantremayne," Didn't care for it.
","<span class=""review-date"">24 July 2022</span>","
Terrible plot and writing. These positive reviews
have to be fake or the audience that is posting them have just gone to the movies for the first time. Over the top style, that basically makes no sense.

                    5 out of 11 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",1
192,nagaarjun09," Kamal gives the keys to Lokesh and he takes to super-sonic
","<span class=""review-date"">5 June 2022</span>","
Alright... where to start? The movie starts off with a shock which makes us think this isn't going to be a full on Kamal movie. You are right! It isn't!But, that's where the beauty of this movie lies! The way Lokesh adds so much importance to the script and not worry about the classic masala (which ruined Master imo) is what has made this movie a bangerSuperb BGM by Ani elevating the scenes to another level and cinematography throughout the film... it was just a treat to watchOne thing that did ruin this film was too many characters that I lost track of who is who. Can't wait for this Loki cinematic universe to turn into a series of amazing movies!

                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
193,nvishnumurthy," no spine, 3 national award winners
","<span class=""review-date"">4 June 2022</span>","
No songs, no comedy track, no lightness, no take away...3 great actors talent wasted. Movie making art and narration seems is borrowed and not one bit I felt it was worth watching on a big screen. Heavily populated characters, too loud and noisy. The director seems to have lost direction not knowing whom to give the lead.

                    13 out of 31 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",3
194,ahmedrockinblues," Over the top..fun in parts..watch 'KAIDHI' for entertainment
","<span class=""review-date"">4 June 2022</span>","
This movie should be called Kaithi 2 and ANBARIVU should claim more than half of directors remuneration. Its a relentless rain of hand to hand combats, gun shots, stabbing and pyrotechnics, so relentless you get bored. Lokesh takes a lot of inspiration from the indomitable South Koreans, you will see the centenary celebration wrecking scene from The Outlaws in Vikram, here it's a marriage function ruined using some gas emitting gizmo. By default you get thumping,bone jarring bgm which will total your eardrums. Most of the well choreographed fights happen in darkness and it cuts half of the thrill on offer. Some really exciting moments come from the most unexpected people, like Agent Tina.For high calibre performers like Fafa,VS and the Kadavul,the assigned roles are cakewalks. Almost every character has something to do and the credit goes to the writers. Hope the film does some big numbers.

                    2 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",6
195,eswarrnairs," Vikraaaam !!
","<span class=""review-date"">3 June 2022</span>","
This movie was perfectly crafted for the audience. Balanced screenshare was given to these three actors and their performance blew the top. The hype people had given for this movie has doubled now because all of those goosebumps moments. And the story was written so perfectly for another expected sequel.

                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
196,souravslove," Kamal Hassan's brilliance
","<span class=""review-date"">19 May 2023</span>","
We all know what Kamal Hassan is capable of pulling,but he got two brilliant actors with him , Vijay Sethupathi and Fahad Fazil are treat to watch.Story line is strong but acting of these actors trump's everything, one of the best movies in recent times.Treat to watch, content and acting is key, Bollywood should atleast learn from South how to make good movies, those days are gone when only actors will pull a movie without any stories. Also the soundtracks are awesome from Anirudh, ""Once upon a time"" is already a cult piece, well done boy.Eagerly waiting for the next episode of ""Vikram""🤘

                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
197,ashish-cooltech," Very dull start
","<span class=""review-date"">27 June 2023</span>","
Maybe it is just me but I have tried three times now and could not get past the first 20 minutes of the movie. The whole opening sequence is so boring and senseless. Maybe for die hard Kamal Hasan fans it might be OK to see him dancing without context right at the start of a movie, but I just found it very boring to get through the whole opening sequence. Don't get me wrong, I have very high respect for Kamal Hasan and the work he is done over the years. But this one unfortunately has the morning boring starts to any movie I have seen. Maybe I am missing out by not trying to power through first 20 minutes, but I tried three times !!

                    1 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",3
198,ixap," Meaningless drama with super action
","<span class=""review-date"">19 July 2022</span>","
Overhyped. And story has lots of loopholes. Watchable as the all actors have did their best.P.s . Super child has born who will soon join avangers 😂

                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",6
199,aviator-56094," Takes Kamal Hassan to restore Tamil pride in 2022
","<span class=""review-date"">3 June 2022</span>","
Yes Lokesh deserves the respects for the writing in this, both in character building and a cohesive spiderweb like screenplay. But without the emotive king in Kamal Hassan, another masala type actor is surely not going to give us the extraordinary range of his. Clearly it takes our Indian audience to enjoy products of script power to grieve masala pot boilers. Vijay Sethupathi is the one to take his mantle and Suriya too has paved the way much earlier. We need to continue to stop meddling with script writers, yes we know which masala heroes still do this. And we get flops.

                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",9
200,suryaravi-16683," Good movie
","<span class=""review-date"">18 June 2022</span>","
Lokesh need to focus on fight scenes to make it realistic. Kamal screen presence is less in first half and in second half🔥. Fahad fazil is like ""Man of the Movie"". Vijay sethupathy super acting. Surya acting is also good.
",10
201,rajiv-53203," Horrible movie with horrible direction and storyline
","<span class=""review-date"">7 June 2022</span>","
Horrible movie with horrible direction and storyline.Based on South India Vs North India movies flag bearers this movie seems to be a hit but all who watched know that it is a waste of talent and such a collaboration between fine actors.1. Illogical fight sequence where no one uses gun in fight with hero for most of the times but uses knife to get killed.2. Director got lost where to keep Kamal Hasans grandson in whole movie specially in last fight, so Fahad again brings him back in the den where Kamal is fighting for life with whole building ready to explode.3. Kamal Hasan keeps his family on guard of only one lady secret agent who's eyes can open one secret safety door. Script writer took break everyday to comeback and put some stupid logic in whole movie.4. Vijay Sethupati with all his charisma and power is scared of one Rolex boss for his 60+ family members, so he keeps fighting all movie for 2 lost container of supplies of his boss.5. Fahads wife in the movie can be easily killed because in old movie Kamals wife also got killed.6. In first 15 minutes, anyone can guess tha Kamal hasans story is all bring told to distract the secret agent Fahad. Kamal hasan is such a secret agent from 30 years and he goes in places to do secret stuff where no one can trace him like golf greens, red light area window 😀 brilliant thinkingSuch a waste of talent by poor direction, script writing and bringing Surya in end for taking 15 minutes to lay grounds for part 2 which I think should not come out with these group of Director, script writers.
",1
202,starebishan," ROLEX
","<span class=""review-date"">3 June 2022</span>","
Awesome movie. Enjoyed a lot waiting for Vikram 3 and kaithi 2 for suriya anna. Bgm is lit.. Kamal, vjs, fafa acting. Suriya anna is a monster of acting, bolt villainism. Must watch flim.

                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
203,radhakrishnanak," Eyes wide open
","<span class=""review-date"">16 June 2022</span>","
There is not a single moment I felt like bored or over the top. Each action sequences and impressive narrative made vikram at the top of its genre. This could be the beginning of the Lokesh cinematic universe.

                    1 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
204,dhepaks," Brilliant first half, Boring second half
","<span class=""review-date"">3 June 2022</span>","
They way Lokesh building each character is brilliant. The screenplay moves gripping untill the intervel portion. But after the intervel portion it is boring, because of too much action sequences. The action sequences are not even fresh. It is as usual one. New guns are only introduced. But that will not bring a fresh tone to the action sequences, because every type of gun, only release bullets and it make the target to hurt or die with some fire, sparks and explosions. If you love kaithi so much, you will like Vikram's second half.

                    7 out of 25 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",7
205,siddharth-61578," Cant believe this garbage is from Kamal Hassan
","<span class=""review-date"">29 November 2022</span>","
Absolutely hopeless and bogus movie. In this time of cutting edge-new age practical and logical thriller stories like Drishyam Kamal Hassan is back with old school of south Indian style one-man-fighting-20ppl-at-a-time movie. There is absolutely nothing new in the movie. Only kamal Hassan potraying himself as Super Hero and proving again and again that come what may he is invincible one man army. Whole movie passed by but I failed to understand why on earth Kamal Hassan has made this movie. What does he wants to prove. Complete nonsense and waste of time. Come on Mr. Hassan you have given few best of the bests most memorable movies. At the age of 68 you dont need to prove anything by giving such a nonsensical movie. We need thrillers like Appu Raja, Hindustani or comedies like Chachi 420 or heart touching Sadma or Sagar if you need us to remember you as an one of the greateat story tellers of Indian cinema. Please no more idotic movies like this.Movies like Drishyam, Memories, Jay Bhim, Jana Gana Mana have raised the bar to a new level. You were always ahead of time in story telling and as usual we expect you to raise the bar further and not to go lower with this senseless movies like this.
",5
206,adhvaithjacob," Worth the watch
","<span class=""review-date"">3 June 2022</span>","
100% Entertainer. Kamal's version of Kaithi. Kamal, Vijay, and FaFa did an amazing job. The cinematography, music, and direction are good. Watch it for Kamal Hassan.

                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",8
207,kaushykutti," A crass action film that borrows heavily from everything you've ever watched, read, heard and loved
","<span class=""review-date"">28 November 2022</span>","
It's a crass action film that borrows heavily from everything you've ever watched, read, heard and loved. Music, background score, camera angles, action sequences, costumes, special effects, props, dialogues, ideas,... it's a myriad of inspirations. But they aren't executed well enough to pay tributes to the originals.It may appeal to an audience who haven't read Diamond Comics or watched Hollywood hits. Or the ones who have poor imagination and can't connect the dots.There's a bit of unintended comedy in very serious situations. Like the introduction of Special Agent Tina. Or the forced repetition of the phrase 'Once upon a time there lived a ghost'.

                    1 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",1
208,narisetipraneeth," #VIKRAM trance
","<span class=""review-date"">3 June 2022</span>","
After a gap of 4 years , he is BACK.#ULAGA NAYAGAN 🔥
About film 🎥 high action drama , A war between drug mafia and serial killers ( vikram & his gang) .A black spy is investigated who is serial killer . That is the movie plot.In this film 🎥 all actress are framed well..
#KAMAL HASAN SIR
#FAHADH FAASIL
#VIJAY SETHUPATI
# SURIYA sir
#KAMAL SIR💥
No change in his acting & energy levels . He proved again age is just a number.#ULAGA NAYAGAN🔥
#IMMORTAL
I loved Vijay sethupati walking style & his facial expressions.FAHADH FAASIL acting 🔥
#MY HERO SURIYA sir MASS look 🔥
GOOSEBUMPS
#Rolex(suriya)
#It is connected to #KAITHI 2 🎥
#WRITER&DIERECTOR(LOKESH KANGARAJAN)A HIGHLY RECOMMENDED MOVIE 🎥
# VIKRAM🔥
GO & WATCH YOUR NEAREST BIG SCREENS.#THE EAGLE 🦅IS COMIN..you better start runnin....
#PAN WORLD....
HOLLYWOOD RANGE MOVIES.
",9
209,Aarif-m," Lokesh Cinematic Universe 👀&Aandavar Dharisanam 💥
","<span class=""review-date"">3 June 2022</span>","
The Movie with Fantastic and Engaging Screen Play;Tough&Rugged Characters with a bunch of Amazing Performers;Anirudh's Background Score 💥; Whole Lot of New Techniques; Terrific connection details;Thanks Lokesh For Bringing up this LCU!Keep going Vikram&Team !Happy&Proud that I have watched this film,worth the wait.
",10
210,bobbytmcon," Average Movie
","<span class=""review-date"">10 July 2022</span>","
Movie is average and clumsy. Not up to the par as Khaidi Movie.Not a must watch movie. No thrilling elements at all.No elevation scenes at all. Kamal hasan character lacks the hero elements. He is very slow and not fitting the hero character. Fahad and Vijay acting were good.

                    1 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",5
211,rider1484," Big disappointment
","<span class=""review-date"">19 June 2022</span>","
After hearing lot of rave reviews watched this movie on theatre. Lot of ado for an average movie I would say. Seems the director had no time to etch out any of the characters fully, no coherent script, logical loop holes in every scen, unnecessarily lengthy movie, easily couldve cut 30-40 mins of the movie and viewers wouldn't have even noticed. Director has tried to make each and every scene a goosebump scene and that makes u soon saturated the onscreen violence. He has tried to take all the impressive scena form his previous movie ""kaithi"" and has tried to exaggerate them and it falls flat. Overall a great missed opportunity.P. S last scene cameo was the worst of all.

                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",5
212,rajbawa86," Oh Boy! One of the best EVER!
","<span class=""review-date"">19 June 2022</span>","
Well, I am big Hollywood, French and Korean fan. I don't like Bollywood masala at all. But our southern cinema has been impressing us all Big time. Earlier I thought KGF is the best ever made movie in India after Bahubali but oh Boy, Vikram! I mean what was that....well, spoilers alert- its a very experimental movie. From the music to BGM to action to storyline. All three main Actors, Kamal Hassan, Vijay Sethupathi and Fahadh are just best actors we ever had.

                    1 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
213,saravanamoorthy-49064," Too much violence
","<span class=""review-date"">16 June 2022</span>","
Violence centric movie with less sentiments. 2nd half and climax scenes could have been more better. More story could have been added to the movie rather than violence. This movie is more for youngsters.

                    5 out of 9 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",2
214,veereshinduvasi," Good moview
","<span class=""review-date"">9 July 2022</span>","
Story and screenplay but not great as kgf2. Vijay sethupati acting awesome .background music good. Only few movies give the feeling of satisfaction #Vikram movie is one amongst them.

                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",3
215,krishkrish-92724," What a Tamil Action Blast after long time.
","<span class=""review-date"">3 June 2022</span>","
Excellent performances by everyone. This team, multiverse concept and title are gonna rock Indian movie industry. One of the best Tamil action movies of all time. Must watch movie , especially in theatres. Sound designing is brilliant. Waiting for sequel. The climax is out of control . This movie is watchable again and again in theatre.

                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
216,akshatmahajan," Entertaining
","<span class=""review-date"">29 March 2023</span>","
After watching Kaithi, I was excited to watch Vikram as both the movies are part of a universe and it was in my watchlist for a long time. The movie is good and a full theatrical experience. The BGM, action scenes, cameos and the performances of cast members were good. The direction was also good but I felt that the movie could have little short. Also, the there were some pacing issues in some scenes but it doesn't effect the overall experience. Also, the suspense element felt little bit weak to me. Now, I am excited to see how this universe will continue.Overall, it was an entertaining movie and a treat for action-drama lovers.

                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",7
217,ElRataAlada," Not worth the hype
","<span class=""review-date"">24 June 2022</span>","
Well i went in with 0 expectations and still returned dissapointed. The movie had so much potential yet it all got ruined due to poor pacing and frustratingly long run time.The first 1 hr is slow but it still manages to keep you hooked because of the ""murder mystery"" plot. The movie picks up pace towards the interval.The second half is just bland. The movie tries to be so many things and ends up becoming a khichdi. The bg music is annoyingly loud. The overall acting performances are good.
",2
218,itzznur," OUT OF THE WORLD
","<span class=""review-date"">3 June 2022</span>","
Kamal Sir wow wow wow,💥💥💥U dont get aged
Vijay Sethupathi Massssss
Fahadh Fasil superbbbbbb💖💖
Anirudh amazingggggg music, background, bgm,Everyone should watch the movie in theatres to feel the magic💞💞💞
Surya entry goosebumps💥💥
Suspense action thriller
Excellent screenplay and direction from Lokesh👏👏👏

                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink

",10
219,ganeshgarga," 5 star action! Please do watch!
","<span class=""review-date"">3 June 2022</span>","
I thoroughly enjoyed this movie in all respects. Just go and experience it! Swashbuckling action and exemplary work in all parts of the movie! People who don't like action movies will start liking it if they watch this movie. They show how it's done! Please partake of the delicious sumptuous fare!
",10
