,Users,Review_date,Review_content,Rating
178,Deepa S Jannu,a year ago,"What an astonishing n amazing movie. Nerve wrecking
Every scene is so beautifully designed, n keeps you interested throughout the movie on what is gonna happen next.
Kamal Hassan - great acting, hats off to you sir.
Vijay Sethupathi n Fahaad my favs 
Worth watching, even if more than twice"," Rated 5.0 out of 5, "
179,vishwa mh,a year ago,"Lokesh kanagaraj cinematic universe is just wow … this movie is highly elevated by BGM … Anirudh you master of bgm that too ROLEX bgm is awesome no words to explain about that …. Even surya is not just a actor he lived in that character extraordinary ….. Kamal sir , vijay sethupathi , fahad fazil it’s a magnanimous combo  …..
After KGF this is the biggest mass movie I have watched 🔥"," Rated 4.0 out of 5, "
180,Meghavi Dwivedi,a year ago,"I really really really and really loves the story as well as it's  cinematography ....

This movie will  really realise u that  every men has it's circumstances as well as their duty in which they r bounded because of which they have to act like villian in their life .
This movie will also tell the truth of realistic world that we r suffering from but we r not aware from this...
We also see that ther are some agents  and real humans who doesn't care about this mean world for whom they are workin ...More"," Rated 5.0 out of 5, "
181,Saravanan S,a year ago,"1st of all what a writing from lokesh kanagaraj sir. Because of his writing only movie reached that much depth . Then giving equal importance to all the main characters . Fafa, vjs , Kamal handling this much characters is big challenge but Loki done great job , cinematography is awesome, Ani's bgm elevating everything to other level. Surya that monster acting will lit up... Waiting for this kinda movie from lokii"," Rated 5.0 out of 5, "
182,Bala Murugan,a year ago,Entire crew did a fabulous job. Well crafted movie and all movie lovers should watch it in theater. You wont find how 3 hours is gone. Each moment audience is kept full engaged with the story and claps. And watch it on Chrompet Vettri theater you will see that some scenes of the movie shooted on the floor you sit!," Rated 5.0 out of 5, "
183,Sabko Namaste,5 months ago,"First thing first, now got to know why the malyalam, kanada, and Telugu movies are remade in Hindi. The dubbing and the expressions at majority time does not sync with acting. Now coming to the movie, the story has wonders to do, but sometimes it felt like their is lack of continuity. The cinematography was also not that much appealing.

Story: 4/5 is overall score for the story but there was need of improvement to maintain it's continuity.

Direction: 2.5/5 there were no special shots were seen ...More"," Rated 3.0 out of 5, "
184,siva kumar,a year ago,"Must watch. The way Lokesh Kanagraj tied different characters different timelines is just too good. Most of the top star movies failed recently coz the movies were too hero centric making no space for other characters. Vikram imo has hit the sweet spot by giving the right amount of weightage for all the characters.
Cant wait for the next part. Arguably the best movie of the year."," Rated 5.0 out of 5, "
185,Vasu 369,a year ago,"Tbh i don't like action films, but i enjoyed every scene in Vikram. The way logesh potrayed Kamal in movie is awesome. Vijaysethiupathy acting is marvelous as always. Fazal wow. Overall it's worth to watch. Advise you to watch in theatre with heavy sound effects you il get goosebumps on some scenes"," Rated 5.0 out of 5, "
186,Rajesh Shastri,a year ago,"What a movie! What stars! What acting!

Fully engrossing from start to finish. Kamal Hassan is superb, my favourite Vijay Sethupathi is unbelievably good and Fahad is fantastic as always.

The supporting actors are equally good and just add to the star presence.

The technical department is impeccable and background score by Anirudh just adds to the adrenaline rush.

Waiting for the sequel (if there will be one) :)"," Rated 5.0 out of 5, "
187,Saravana A,a year ago,"100% lokesh oda padam no doubt 👍 one of the best movie in Tamil cinema...

Kamal sir,Vijay sethupathi,fa fa performance semma suriya sir cameo role vera level 🔥🔥

Anirudh bgm top notch 💥💥

After 10 years Kamal sir vera level comeback a kuduthurakaru...

Especially pre interval,interval and climax scene summa senjivitrukanga🔥💯

Naan semma ya enjoy panni paarten...

Ratings:4.5/5(worth watch)

Next part ku waiting...."," Rated 4.0 out of 5, "
188,ram kumar.m,a year ago,"First Don’t go with kids ,it’s fahad fazil’s Flim not Kamal’s  or vijay sethupathi,they try to connect logic with their other films but fail to give logic & be realistic in this Flim ,we can easily guess the movie from starting ,sentiments didn’t workout ,unwanted action scene,revolver Rita suspense cards are full of comedy,Anirudh background score was such a pain to ears ,someone pls get back mad max fury cd from him ! starting from marri he’s torturing our ears  as background score -most overr ...More"," Rated 1.0 out of 5, "
189,Saravana Kumar,a year ago,"Definitely entertaining movie. Hard work and great acting by Kamal, Fahad and VS. Music is good.

Without doubt Lokesh movie since this movie  is also based on drugs.

Looks like this is the trend now! He cannot think of any other story other than drugs. Are we living in a city full of drugs, weapons and mass killings? Drugs, guns and killings are plenty in his movies. Children cannot watch his movies due to the violence portrayed.

And there is a hint for Vikram 2 with more  violence coming up! ...More"," Rated 3.0 out of 5, "
190,M Srividya Iyengar,a year ago,"After so long a tamil movie that made me sit at the edge of my seat in the theater!

I was like, 'What's next, what's next', till the Climax..

All the 3 stars, all super duper awesome actors in their own genre 
, came together to give a blockbuster!

It was a tollywoods Marvel to me!

Enjoyed fully, Paisa wasool!

I can't get enough of this movie!!"," Rated 5.0 out of 5, "
191,Kanthakumar R,5 months ago,"Excellent, marvelous, stunning. Kamal hassan looks damn handsome and stylish at this age. He still can beat his juniors.  What a mind blowing story. With emotions and action. Main thing is connectivity of previous movies.
I had seen these in marvel movies, now in India, Lokesh sir has initiated. 

Hats off sir. Eagerly waiting for next series.
Anirudh music  gives a feel of English movie.



Ani"," Rated 5.0 out of 5, "
192,Umesh Ramaswamy,a year ago,"Hey Today I saw Vikram, the story was really gripping till the end. The acting by Kamal Sir, Mr.Vijay SethuPathi,and Mr.Fahadh Faasil  was really awesome. My only negative comment was towards bad words and gruesome killings . I felt that for instance Vijay Sethupathi expression was sufficient to show that he was a cold blooded smuggler lord.
So my overall I would give it as 4 for the screenplay, story, and acting, but I will finalize it as 3 just for bad words and so much gruesome killing and ba ...More"," Rated 3.0 out of 5, "
193,sreevani sree,a year ago,"Ever heard of using 100% of your brain? Well, watching Vikram is an opportunity to churn a large chunk of your grey matter! This movie is like a painting that whispers in your ear like an invisible ghost the more you watch it. So many details we miss when we watch it like a regular audience. So many metaphors narrated in a parallel manner between the characters. And what a characterisation! Vikram is one of the very few movies that can make you deeply empathise with the characters within. Though ...More"," Rated 5.0 out of 5, "
194,Ananth Natarajan,a year ago,"""Vikram"" was a waste of time. And waste of the talent of not only KH but VS,  FF... Too much hype and too little substance. Idhukku edhavadhu Simbu padam pathuttu jolly ah vandhurukkalam. 
Unfortunately a bad movie by any standards, and definitely by Kamal's and even LK's standards (remember he made Kaithi), and the only reason it is still in theatres after 17 days is the enormous publicity which is possibly due to the fact that the distributor is the CM's son. Really cannot think of any other r ...More"," Rated 1.0 out of 5, "
195,Arun Raghav Potharaju,a year ago,Overrated movie!! Typical violence and victimhood of good characters which you see in most of the Tamil movies !! Wannabe Kgf and Pushpa movie but is nothing before these movies!! Predictable story line!!  Not sure if Telugu or Kannada or Hindi people will enjoy it as much as Tamil people who watch for the actors and sad endings. Good characters are masochistic and keep on suffering as is typical with other Tamil movies. Headache and Migraine inducing movie!!," Rated 1.0 out of 5, "
196,pavan rishi,a year ago,Just watched vikram movie. Wow what an amazing thrilling actioner . Kamal hasan done great work as vikram. Vijaysethupathi and fahaad fasil also did fabulous work.the bgm by anirudh is mindblowing. This is lokesh kanagaraj's best movie ever. Do watch it in theatres near you. Dont miss the theatre experience.overall mass rampage..," Rated 5.0 out of 5, "
197,Sivakumar Selvaraj,a year ago,Lokesh direction and the way handle multi star crew is awesome... As usual kamal sie gave scope for everyone to do magic.... 100% lokesh movie and used everyone excellently... My 11 year old son keep talking about the film for the last 3 days. U/A is just a myth. Families are enjoying at theatre. Thanks for the wonderful cinematic experience....," Rated 5.0 out of 5, "
198,Hari Nair,a year ago,Out and out lokesh Kanagaraj movie.  All actors given great roles. Don't watch it for kamal or vjs or fahadh. Watch it even for the maid in the movie (spoiler alert). Action sequence is unbelievable. The way he has combined vikram(1987) and kaithi and making you want more for vikram 2(hoping for one) is the class here of the director. 2.5 hours went like a breeze.," Rated 5.0 out of 5, "
199,Abilash Proride,a year ago,"Lokesh Kanagaraj has provided an invaluable gift to Kamal Hassan and his fans which is this movie. Exceptional direction with superb screenplay and the most important - music, Anirudh has rocked theatres and keeps movie alive with his music. 

Stellar performance from Kamal Hassan, Fahad and Vijay Sethupathi. Every character has provided justification to this movie. The connect provided with Kaithi and Vikram - 1 is spectacular. 

A movie that needs to be watched in theatres. Goosebumps througho ...More"," Rated 5.0 out of 5, "
200,Naresh Kumar,a year ago,What a wonderful movie...Fahad faasil amazing job throughout the first half and the story line was just splendid...Kamal Sir you are really Vera Level ...Worth watching many times on big screen never will get bored ... Anirudh BGM yappa no match for it bro ...All The Best Team Let's Break All The Records Of Any Movie In India 🤗🤗," Rated 5.0 out of 5, "
201,chandrasekar sundaram,8 months ago,Crisp and refreshing screenplay.  Director didnt fall to Star streotypes but goes by what the scene demands.  Perfect acting (action) from each of the 3 leading men.  Just shows we can create pure crime thrillers if only our directors don’t forcibly their personal politics…. Best movie," Rated 5.0 out of 5, "
202,Hema Latha,a year ago,Great movie to be seen in theatre. I believe the violence in not suitable for kids and for adults it is a mind blowing thriller. BGM gives you the needed kick. You can never have enough of acting and emotions of main character. All characters are utilized well. Nothing much for heroines though. And I want to watch again ☺️," Rated 5.0 out of 5, "
203,K.M.BASANTH BABU,a year ago,"In Vikram-2 all the actors have been given equal weightage - not like found usual in other star movies. Kamal as usual has rocked in this movie. Fahad Fazil, Vijai Sethupathy has done their part well. Lokesh has proved that he is a good screen player. Congrats to Vikram team."," Rated 5.0 out of 5, "
204,Munis swaary,a year ago,"Such a brilliant movie with excellent performances from such big starts of Tamil cinema. I have come to a realisation it's a literal treat to Tamil audience after years. Such a great movie. Had goosebumps throughout fight scenes. Music is extremely great. This is 10/10 recommended.

Extremely violent scenes are included. Therefore it might be considerable for audience who may prefer to watch movies with less violent scenes.

Everything else is perfect. Thanks to the director of the film."," Rated 5.0 out of 5, "
205,Sridarshan Nanda,a year ago,"Great actors but the storyline was trash. Lots of blood and gore. Someone keeps dying at least once every five minutes, it’s very distracting and disconnecting from what the story is. Dialogues are cringe and they try to implement something from Hollywood movies and, of course, it doesn’t work.

It’s crazy how the fan base rated this movie as “one of the best” when in reality it’s not worth watching twice. As a fan of all the actors, my expectations coming into this was even lowered.

Stay clear ...More"," Rated 1.0 out of 5, "
206,Neelakantha Rao Yathavakilla,a year ago,"Vikram movie is very engaging with great story and screenplay. Lokesh has done a great job in keeping audience engaged. Kamal did a great job by exhibiting his finest acting skills. 

Any adjective to applaud Anirudh's background score won't be enough to  describe its excellence. He has done a fantastic job!"," Rated 4.0 out of 5, "
207,Dinesh Kumar,a year ago,First half is good and impinges expectations in the 2nd half but fails to impress. Last half an hour of movie lags essence... Blend of kaithi shooting scene and master like fight with underrated graphics shows Lokesh has used only one side of his brain. Only tip to Lokesh is while u have attempted good screenplay but failed to sync well till end of the movie. I urge u start using other side of your brain too for ur next project otherwise bear in mind you are driving towards dead end. Plan your c ...More," Rated 3.0 out of 5, "
208,Vikram Sridharan,a year ago,"Usually a movie hyped so much will fail to meet the expectations but Lokesh Kanakaraj has pulled off a terrific movie in Vikram.

First half is a repeat watch for interwoven narratives and a revealing plot. Second half is relatively predictable but has twists that keep you engaging. 

Overall superb movie experience. Wonder how the same director made a movie like 'Master', this movie is a top notch in comparison."," Rated 5.0 out of 5, "
209,oviya7 biggboss,a year ago,"Amazing superb movie from beginning to end !! I have to salute Kamal Hasan to take up such a role at this age 👏🏼👏🏼 
Great selection of cast and wonderful story line .. Fahad did great job .. very impressive acting .. Vj Sethupathi is a star in his own rights !!!"," Rated 5.0 out of 5, "
210,Arun Venkatesh Babu Pattabhiraman,a year ago,"Pure theatre magic. it is a star studded treat and an excellent screenplay. do watch in theatres. Hats off to Lokesh, Anirudh and anbariv for the kind of effort. while i read most critics say that it is an old story, high violence, predictable etc i thought it is going to be an average movie that is hyped but geez this is special"," Rated 5.0 out of 5, "
211,Kaviya Nila,a year ago,"The best Tamil movie I've watched so far. This movie has definitely took Tamil cinema to the next level. It's a must watch movie in theatres. The Direction, Cinematography, Music and everything was just perfect. The movie gave audiences goosebumps in literally every possible way. Kudos to the team. Can't wait for the next part."," Rated 5.0 out of 5, "
212,Vivek Balan,a year ago,What the hell did I just see ...it was a bloody brilliant...lokesh k impresses everytime be it the writing in master or in Vikram ... outstanding writing from start to finish ... screenplay is so good that there is not even a single dull moment in the film ....Kamal sir what an actor he is born to act .... emotional scenes by Kamal h so natural ...vijay s another class act with mass screen presence ....Fahad f what to say he can act any role with such ease ... brilliant loved the film ....and ye ...More," Rated 5.0 out of 5, "
213,Jan R,a year ago,"Mind blowing movie. Kamal Hassan rocks the movie with roles played adeptly by Fahad and vjs.  Music is just out of the world and there are so many moments in the movie which are spine thrilling and just gives goosebumps. Absolute blockbuster. Repeated audience confirmed in theaters. This is not one time watch, you can watch it so many times and still enjoy it, just awesome."," Rated 5.0 out of 5, "
214,Karthik Raj,a year ago,"Vikram movie review: A fast paced action entertainer.🔥🔥🔥🔥🔥 Interval block is certain to create Goosebumps. Lokesh Kanagaraj has reserved his best for Kamal, similar to Manirathnam in his 4th film Nayagan. Fahad Fazil and VJS excel in their respective roles. Overall a Paisa vasool entertainer which shall satisfy all action movie lovers. Making and BGM needs a special mention. Go for it for a ravishing theatrical experience 👍"," Rated 5.0 out of 5, "
215,Nandu Viji,a year ago,Semma  movie by  director Lokesh kanakaraj.  Awesome acting by Kamal Hassan.  Vijay sethupathi 's acting was awesome and he is a versatile actor.  Fahad Fazil's acting was awesome.  Anirudh music and background music was great and awesome.  Myna Nandhini appeared only in few scenes but  played nice role . Guest  role by SURYA was nice and  wonderful.  Everyone should watch this movie.," Rated 5.0 out of 5, "
216,Digital Maidaan,a year ago,"There is a reason why Kollywood is K(ing)ollywood. They have a K(ing)amal Hassan and a  Lokesh K(ing)anagaraj.

I hope people get over the kgf craze. RRR and Bahubali instigated pride and good feelings while kgf and pushpa, although good story, have created a worrisome culture among youngsters - glorifying rowdies, alcohol, drugs and smoking.

In that regard, Vikram movie protagonists fight against that and the film too is very well received. 👌 I'm really sorry for hindi people who are unable t ...More"," Rated 5.0 out of 5, "
217,Alwin Kurian,a year ago,"What an excellent brilliance shown from Lokesh Kanagaraj. He stunned the audience with some twisting mixtures and his cinematography idea was top notch. I guess , I became Lokesh Kanagaraj fan from now on. According to the powerful bgm, the acting of every co actors was up to the matching level of bgm. But found out few mistakes in the film so I am rating this film 4."," Rated 4.0 out of 5, "
218,Bhavani S,a year ago,"Batman of Indian cinema... Starting scene mask man voice similar to BANE's threatening voice in 'The Dark Knight Rises'.

Kamal on fire...🔥🔥🔥 After a long time a block buster for Kamal... Lion among the pups.

At last Tamil cinema changing towards Hollywood style. Cameos, shared universe concept, post credit scene etc. Kaithi film cameo is super. Very happy to see south Indian films rocking the stage nowadays."," Rated 5.0 out of 5, "
219,balaramani H,a year ago,"Great screenplay & direction by loki & welcome to LCU 😎🔥 amazing performance by VIKRAM , AMAR, SANTANAM, ROLEX 👑
Visual & music🎶 is ultimate 1st half takes its time to reveal the plot but 2nd half is on 🔥🔥🔥fire... Must watch action thriller once again Kamalhasan sir , FF, VJS, SURYA all great performers in a screen is a gift.. 
Note: as loki said refer KAITHI & ALSO VIKRAM 1986...😎😎 lots of suspense and surprise ahead enjoy... 😎😎🔥🔥🔥"," Rated 5.0 out of 5, "
220,Prasann. J.s,a year ago,"4.5/5 ⭐
After KGF Chapter 02, it was VIKRAM..i loved it.
A solid, action packed,mass entertainer.

 As everyone knows Fahadh,Vijay Sethupathi,Suriya are just nailed it.

And finally the great Kamal Hassan 🔥👏..

Finally, great work by Lokesh Kanagaraj And Aniruddh Ravichander, really appreciable."," Rated 4.0 out of 5, "
221,henry Godwin,a year ago,Awesome. No words to express. Watching a great seat edge movie of the stardom after very long time. Still Enjoying and my favourite time killer. Came to know lots of hidden things which cannot be known if watched once. So still watching whenever get time. Thanks lok and the entire team. All'the best," Rated 5.0 out of 5, "
222,Adolph Vijay,a year ago,"Easily one of the best movie made from Tamil cinema in the recent years. Three powerhouses - Kamal Hassan, Fahad and vijay sethupathy just nailed their roles. And to make it even better, we have Suriya'a cameo as well. A treat for everyone it is - going to be a cult classic movie for sure."," Rated 5.0 out of 5, "
223,satish kumar,a year ago,"Kollwood la Hollywood. Tamil cinema 📽️ is going to vera level 🔥🔥. Hats off Kamal sir, VJS, Fahad faasil and director Lokesh for making this wonderful movie. The main plus in the movie is bgm and background score, Anirudh is always as superb and giving his best everytime , he is going to reach a good milestone.

Totally film vera level 🔥🔥 waiting for Vikram 3"," Rated 5.0 out of 5, "
224,Vijayramkumar Veeraraghavan,a year ago,"@Dir_Lokesh From one fanboy to another - thank you so much for giving us this treat! Tears of joy as it's not just another Aandavar @ikamalhaasan movie but a ground breaking experiment in Tamil cinema! For the love of cinema, looking forward to many more such stellar outings!"," Rated 5.0 out of 5, "
225,Remya Anil,a year ago,One of the best movie in South India . I watched this movie in  theater and this was super . The best things about this movie is its background music especially Surya.  My favorite actor in the movie is Fahad fazil . The village cooking people was also a surprise.  It is a James bond movie but with a touch of kamala Hasan acting . Must watch movie .," Rated 5.0 out of 5, "
226,Siddhesh Koske,a year ago,"As 90s we have huge respect towards our ‘Chachi420’ sir. As a grown up and what demands today’s date is better know by story writer & as a senior actor.

Sorry to say but very disappointing.

As a chief agent sir is relying on the woman agent to open panic room??!!

And out of the blue why they took so much time to arrive at climax just drain the canon and gun devil rounds??!!

Rolex?? Sorry Rolex SIR I mean why you have to show 27 years of struggle?? You can’t recover something two containers?? ...More"," Rated 1.0 out of 5, "
227,Nithya Ravi,a year ago,"#Vikram - Massive efforts by the team!
The screenplay, perfect BGMs and the action sequences just blowed our mind!
I liked Kamal sirs acting of all. For his age, he had the natural acting in all fight sequences.. What a charisma sir! 

Great show by the team. The flow of the movie was really good. Way to go 👏"," Rated 4.0 out of 5, "
228,MIDHUN HARI,5 months ago,"🔥Vikram was a blockbuster movie. With Fahadh Faasil, Vijay Sethupathi and Ulaganayagan. It was my favourite movie in Tamil Cinema. Lokesh Kanagaraj did a fan boy sambavam. Lokesh Kanagaraj did a universe named ( LCU). This movie was unpredictable also. My another favourite actor is Vijay Sethupathi. His acting was a good villain character. And Fahadh Faasil’s acting also amazing Raw Agent Character. Finally Ulaganayagan Kamal Haasan. He is a great Performer. First I don’t like Ulaganayagan Kama ...More"," Rated 5.0 out of 5, "
229,Hemanthkumar S,a year ago,"Edit: I watched the movie again after watching Kaithi movie recap. I liked the movie more second time.

Starting with positives all actors in the movie did their part well. It was like three (Kammal, Vijay S, Fahadh)Hero movie all had important role and they lived to thier expectation. I felt Fahad played the role better. 

Comimg to negatives of movie, the suprise elements of movie did not hold well. Duration of the movie is quite lengthy.


Note:Watch kaithi movie recap before watching vikram. ...More"," Rated 4.0 out of 5, "
230,Krishna prasad,a year ago,"I don't know how to describe this epic one. Just mind-blowing. Lokesh sir hats off. The way you directed the movie brilliant Fahad, Kamala Hasan, chembanVinod, Naran, the last epic climax. The entry of this man steals the show 🤞 bgm, music, cinematography actions sequence are brilliant"," Rated 4.0 out of 5, "
231,Bijoy,11 months ago,What a movie man just loved it. Vijay sethupati was op in this movie but the last entry of suriya was mind blowing. Hats off to kamal haasan sir who is still young and perfectly made for this role. I am gonna watch it again 😍," Rated 5.0 out of 5, "
232,Ganesh Kumar,a year ago,"Don't expect too much. Can't compare with kaithi screenplay. But overall OK, not too far to say excellent. Everyone did their character well, but the story doesn't have a soul to appreciate it. Casting was awesome, even are those supporting character plays well. As usual VJS scored his portion remarkable.

""Deaging technology..???!!! Completely disappointed.

VJS PASS, FAHAD CLASS, SURIYA BOSS & KAMAL MASS

Must watch movie without expectation might make you satisfied."," Rated 3.0 out of 5, "
233,Divya P,a year ago,"Worth watching this movie. Better than his previous movie. Enjoyed watching it and every character has a important role in the movie. The movie is beautifully connected with the movie ""Kaithi"". If one has not watched kaithi movie he might not understand the end part of the movie. Lokesh has very well executed by connecting with Kaithi and we can hope for  part 3 in future. 🙂"," Rated 5.0 out of 5, "
234,Mohamad Husam,a year ago,"I think first Time in indian cinema director lokesh kanagaraj did a cinematic universe  concept in his own way and films ( LCU) 
And it's worked very well hatsoff lot of goosebumps and twist and turns in this film . The legend ulaga nayahan Kamal hassan on fire and vjs and fahad fasil are rocking. And the climax with a lead off kaithi 2 or vikram3  it's is 💥💥"," Rated 5.0 out of 5, "
235,Teja Govvala,a year ago,Yep this movie worth 5 stars. As we compare with recent movies this movies was amazing and it contains all action and violence stuffs. Highlight of the whole  movies  is ROLEX character. This character contains hight voltages mass which sets the movie to a next level. Truly amazing movie and also bgm was too amazing. Expecting more movies like this......," Rated 5.0 out of 5, "
236,Gokul Jayanth,a year ago,"The movie has very strong storyline, extremely professional screenplay, each character has been well portrayed and awesome action sequences. 

The movie is a treat for any movie lover. Though it's predominantly south Indian cast, every person must watch it. 

It's an Indian pan world movie which we can be proud of."," Rated 5.0 out of 5, "
237,Ravi Kumar,a year ago,"Must watch movie for all action/mild suspense lovers. A great plot, needless to say a fantastic performance from everyone in the movie headed by the one and only Dr. Kamal Hassan. It might sound like another movie, but hats of the direction. Go watch it in Big screen to get charged when you come out the theater."," Rated 5.0 out of 5, "
238,Malini Devi,a year ago,"2.5/5
What is good in this show is 
VJS, He acting was villainous and comical at the same time.
Camerawork and stunt choreography  of movie was really good.
Agent Tina moment was quite good but ended too quick.

What did not work for me:
Over hype movie was not really worth the hype.
Too many characters
Too many unwanted scenes  long draggy.
The baby character was really annoying which rare as babies are easy lovable.
There is no wow moment in this flim in kaithi the use of gatling gun was reall ...More"," Rated 3.0 out of 5, "
239,Andrew Diamond,a year ago,"This is called celebrating Indian Cinema, All the cast at their best. Direction and other technical works are simply Awesome. Kamal Hassan stands tall to deliver one of his greatest roles. Thank you for this wonderful cinema experience🎦🎉✨🌟"," Rated 5.0 out of 5, "
240,Vinoth Kumar,a year ago,"Awesome Movie - FOR WHAT???

For the Legend Mr.Kamal Hassan 
For second legend Mr.Sethupathy
For the master Mr.Fahadh Faasil 

Every actor has given their the BEST, But!!!!

@Lokesh what have you been doing for past three years with script. When you have been given freedom with time, then you should have taken the making to the top class level. But i feel you have wasted your gifted chance.

Anyways i enjoyed it. No waste of money."," Rated 4.0 out of 5, "
241,Shyam Thejaswi,a year ago,"If you are action lover and kamal hassan fan then it's a treat for you. Great interns of technical aspects, camera work and direction. Fentastic Music by Aniruddh. I felt little lag in first half and second half was overdose of action. Vijay Sethupati was brilliant. Chemban Vinod and Fahad did fentastic."," Rated 3.0 out of 5, "
242,Kaushik Jay,8 months ago,"It's a crass action film that borrows heavily from everything you've ever watched, read, heard and loved. Music, background score, camera angles, action sequences, costumes, special effects, props, dialogues, ideas,... it's a myriad of inspirations. But they aren't executed well enough to pay tributes to the originals.

It may appeal to an audience who haven't read Diamond Comics or watched Hollywood hits. Or the ones who have poor imagination and can't connect the dots."," Rated 1.0 out of 5, "
243,Ivan Chax,a year ago,"Good movie now days south Indian movies are great in story concept and action. Twists and thrilling with good BGM. Vikram, RRR, Pushpa, Raksasan, Suzhal. But didnt liked Kgf and Bahubali. Rest all is good. I like to appreciate Vijay Sethupathy specially great act done by him. Got a good villain in Tollywood."," Rated 4.0 out of 5, "
244,Ditto Pachen,a year ago,"Super film . A good film in last 2 or 3 years, above all recent hits. First half is super and engaging to the core. Second half has surprises. Interval is too good. BGM is highlight. Though it is 3 hrs movie, we don't feel any kind of lag.

Super Script. All actors are very good."," Rated 5.0 out of 5, "
245,Pavani Peddi,3 months ago,"As all know Kamal Hasan, Vijay sethupathi, Fahad are all terrific performers. What surprised the most was Suriya's role. I always saw him as a cute, sweet, handsome guy, cop... But then he had to match Vijay sethupathi's character and he nailed it. I was shocked to see him in a negative role but he really performed well."," Rated 4.0 out of 5, "
246,Jayaraman Munusamy,a year ago,It's a great movie and I enjoyed watching it. It's an action-oriented movie that brought great name and image for the Tamil movie industry. There's a great message to the public that drug distribution is a major threat to the society and public should be aware and need to play the role in combating drug distribution and usage. Kamal Hassan and everyone has played their roles effectively. Congratulations to the director and the team.," Rated 5.0 out of 5, "
247,Thirumal Adhimoolam,a year ago,"🔥🔥🔥Andavar aattam reloaded 🔥🔥🔥
The real Fanboy sambavam and it made sure 
that it will satisfy all other common 
audiences too. Its a PAN India / world movie from Tamil Film 🎥 Industry. Proud of #Lokesh, #iKamalhassan & the whole #Vikram team. 
Lokesh as a director made sure for repeated audiences 🔥👍🔥
🔥😎Ulaganayagan performances as usual 😍😊
🔥#VJS #FahadFasil outstanding performance 🔥
The team proved that the PAN India movie can be done in our tamil movie 🎥 industry 🔥🔥😍🔥🔥"," Rated 5.0 out of 5, "
248,sachin prowess,a year ago,"Omg….!! Watta movie. Watched it thrice but still it runs in my head on a loop. Omg..!the interval block andavar just swallowed everyone n everything (be it critics or trolls) and has proven that he’s the god of indian cinema for a reason..  it’s world class movie with brilliant characterisation. 

It’s not just a movie,an emotion to kamalians and will add loads of pride to our indian cinema.."," Rated 5.0 out of 5, "
249,KISHORE KUMAR,a year ago,"Vikram - Full Goose Bumps Guaranteed. Mass moments from entire crew members. Kamal Real Cinema Legend proved once again after 4yrs. 
Should really appreciate Director Lokesh Kanagaraj and entire team for making such huge victory. All scenes are class and mass. Loved all the great action sequences."," Rated 5.0 out of 5, "
250,Majeti Kalyanraj,a year ago,Movie 🔥🔥🔥kamal hassan sir.. Sethupathi fahad nailed their characters 🔥🔥😍😍climax scene kamal Sir action sequences are eyefeasting. Kudos to the director lokesh kanagaraju the way he narrated each character is simply superb.. And finally Rolex suriya😍whole theater become senseless when his presence came into the screen it will be a favorite films for the action lovers.. #blockbuster#vikram," Rated 5.0 out of 5, "
251,Pinku Hoque,a year ago,"One of the Best Movies I have watched in my lifetime. Kamal Sir/Vijay Setupati's acting blew away our Mind. And Fahaad - I have become your biggest fan after watching Trance and this Masterpiece. 


Not a single minute I felt bore. Mind blowing"," Rated 5.0 out of 5, "
252,Ranvir Tatineni,a year ago,"Amazing movie Lokesh kanagaraj is great. Vijay sethupathi, fahad fassil and Kamal Hassan all acted extremely well and the story and suspense was amazing. One of the best movies I’ve ever seen. Anirudh absolutely killed it with the bgm. He elevated the movie to another level."," Rated 5.0 out of 5, "
253,Kogulaan vlogs,a year ago,"Tharamana movie

This movie is better than Kgf chapter 2. The story is literally awesome.The interval part hmm no words. It's FREAKING awesome. We enjoyed Andavar's dance.Fahadh faasil and Suriya just nailed it. VJS acting was spectacular.Anirudh's music semmma ya irunchi."," Rated 5.0 out of 5, "
254,Joel Noronha,a year ago,Vikram is a good action movie but story is not very much clear. How Vikram son died and how he rises again is still not clear to me after watching the movie. Picture is good in action. Kamaal Haasans facial expressions and dialogue delivery done really well. Songs are also nice. Vijay Sethupathi performance was also good. Fahadh acting also I loved. Gayathri acting was also good. Vasanthi acting I really loved very much. Good visuals. Good locations. Good cinematography. Storytelling wise little ...More," Rated 3.0 out of 5, "
255,BEAST ASSASSIN,a year ago,"Just mind blowing this was another masterpiece delivered by lokesh sir.
Each and every character had nailed their performances, twists villains bgm acting action emotions cameos just on another level. This universe definitely going to be big in next parts, Kaithi (lokesh sir previous movie in this universe) was just a start with Vikram they are expanding his universe."," Rated 5.0 out of 5, "
256,Mugandha Prasanth,a year ago,"Lokesh Kanagaraj - Crown to be awarded
Kamal Haasan - Title suits him 'Ulaga Nayagan'
Fahath Fassil - Not an acting; he just lived the role
Vijay Sethupathi - Name to be included for explaining the word acting. 
Surya - Screen presence 3 minutes. But he gave satisfied feel for the whole movie length. 
Congratulations to whole team. 
Worth to watch in big screens."," Rated 5.0 out of 5, "
257,Sai Dinesh,a year ago,Please don't go with the reviews . Just book your tickets and watch it. Marvelous movie that keeps you nail baiting till the end . Amazing screenplay and our Aandavar's presence in all the scenes will give you goosebumps. Biggest comeback for both Tamil industry and Kamal Haasan sir..," Rated 5.0 out of 5, "
